|rknn|,knn,rknn
7,"[(0.999981499163327, 3046), (0.9999681996715298, 786), (0.9999591012581822, 327), (0.9999136453984317, 2888), (0.9999024107921616, 2991), (0.9999018071071504, 924), (0.9998820721873485, 904), (0.9998795110032211, 8070), (0.9998754139260906, 7696), (0.9998707723363645, 5752)]","[327, 786, 904, 924, 2888, 2991, 3046]"
8,"[(0.9999981762536978, 3671), (0.9999803438402535, 375), (0.9999589815722847, 1019), (0.9999506881717923, 5181), (0.9999456871588872, 2135), (0.9999207897606261, 3652), (0.9998765377837364, 5063), (0.9998247669668316, 3732), (0.9997804609505779, 2003), (0.9997773488303583, 8415)]","[375, 1019, 2003, 2135, 3652, 3671, 5063, 5181]"
8,"[(0.999991590217151, 3265), (0.9999646428973118, 9006), (0.9999495746689899, 5099), (0.9999420725954097, 1403), (0.9999384334881717, 1721), (0.9999270324299384, 3417), (0.999801894819122, 3020), (0.999738831494403, 5111), (0.9996117026300692, 1369), (0.9996011355544828, 3838)]","[982, 1369, 1403, 1721, 3265, 3417, 5099, 9006]"
9,"[(0.9999714547740043, 2467), (0.9999444846559347, 6023), (0.9999308159920811, 5699), (0.9999252158252169, 1219), (0.9998760369462492, 9293), (0.9998049748521198, 8861), (0.9997972794382126, 9217), (0.9997560879876974, 3836), (0.9997413282886997, 5057), (0.9997411166399376, 5338)]","[1219, 1834, 2467, 5651, 5699, 6023, 8861, 9217, 9293]"
12,"[(0.9997692699102955, 2427), (0.999736118726504, 4838), (0.9997202933169161, 7573), (0.9996358321095403, 9516), (0.9996074091375173, 3614), (0.9994973974688641, 1692), (0.9994613024072567, 8552), (0.9994287539290433, 6280), (0.9993689353228038, 1586), (0.9991035033978656, 7292)]","[1586, 1621, 1692, 2427, 3074, 3614, 4600, 4838, 6280, 7573, 8552, 9516]"
11,"[(0.9999835535574654, 7730), (0.9999822173343115, 7904), (0.9999404271896486, 1076), (0.9999313889105959, 3629), (0.9998167325511281, 5985), (0.9996398809127833, 4321), (0.9995521872251172, 112), (0.9994236812967114, 8152), (0.9993742986166382, 9007), (0.9992661193911824, 6401)]","[112, 1076, 3629, 4321, 5985, 6683, 7453, 7730, 7904, 8152, 9007]"
7,"[(0.9999984617375743, 718), (0.9999798360390997, 31), (0.9999727347954943, 4941), (0.9999657601576558, 1855), (0.9999501517673384, 9290), (0.9999089260515087, 3292), (0.9998893727351037, 5478), (0.9998520803364329, 4929), (0.9998273514525086, 8953), (0.9998245401012965, 8089)]","[31, 718, 1855, 3292, 4941, 8089, 9290]"
10,"[(0.999995450450785, 160), (0.9999805891961739, 9235), (0.9999609154723385, 1774), (0.999960411295935, 7095), (0.9999267900271354, 7917), (0.999915292761562, 2892), (0.9999134241208617, 5845), (0.9998882949958308, 9845), (0.9998810115159212, 8796), (0.9998792554499956, 8062)]","[160, 1774, 2892, 4429, 5845, 7095, 7917, 8062, 9235, 9845]"
7,"[(0.9999679990862286, 2132), (0.9999354739601167, 8803), (0.9998983839504735, 6035), (0.999889178158238, 5685), (0.9998809512791593, 7176), (0.999865839618278, 1428), (0.9998515516030706, 261), (0.9997897949844464, 3660), (0.9996808229981197, 5539), (0.9995924687269293, 4916)]","[261, 1428, 2132, 5685, 6035, 7176, 8803]"
6,"[(0.9999775482251412, 8786), (0.999962173743921, 8385), (0.9999082444169048, 5705), (0.999880082481505, 7713), (0.999872472244576, 463), (0.9997945863973526, 4429), (0.9996861836465168, 1991), (0.9996424370589461, 2892), (0.9996201178877846, 7917), (0.9995769796295352, 8606)]","[463, 1991, 5705, 7713, 8385, 8786]"
10,"[(0.9999967874311297, 351), (0.9998463640378104, 7846), (0.9997407123857116, 450), (0.9996687209184407, 4642), (0.9988742256955537, 6159), (0.9988337742517781, 5017), (0.998385795806022, 2819), (0.9981870093743861, 8476), (0.9981117747273381, 4900), (0.9980929631994586, 74)]","[74, 351, 450, 2514, 2819, 4642, 4896, 4900, 6159, 7846]"
6,"[(0.999897173098111, 8065), (0.9995423547473548, 6883), (0.9992572049002203, 2865), (0.998869853203399, 3810), (0.9984568012190899, 2688), (0.9984382215857384, 2785), (0.9983004591069462, 233), (0.9981840066991868, 6866), (0.9981716436796532, 9325), (0.9981241507406542, 5122)]","[2785, 2865, 3810, 6883, 8065, 9266]"
13,"[(0.999999538581599, 5844), (0.9999865197381577, 5594), (0.9999786493009359, 604), (0.9999775645067605, 8937), (0.99997129030129, 8112), (0.9999654334036321, 4030), (0.9999609384329335, 4481), (0.9999547154058154, 4500), (0.9999421554665581, 2331), (0.9999377270846445, 4197)]","[604, 2331, 4030, 4197, 4481, 4500, 5594, 5844, 6137, 7895, 8112, 8937, 9873]"
7,"[(0.999995217159144, 1975), (0.9999385007475128, 2665), (0.9999359165591696, 8686), (0.9999038783493516, 6216), (0.9998847333905176, 6272), (0.999880373440248, 7970), (0.9998474675343051, 2143), (0.9998287612198409, 4832), (0.9998287301449233, 9037), (0.9998271170799367, 921)]","[508, 1975, 2665, 6216, 6272, 7970, 8686]"
10,"[(0.99998143031992, 8236), (0.9999442770045784, 5620), (0.9999274430179759, 5078), (0.9998211296241992, 3875), (0.9997661659972166, 2903), (0.9995578639694344, 8416), (0.9995400828447847, 3422), (0.9995266706429937, 5763), (0.9992907688576118, 9066), (0.9992389951518165, 8751)]","[2903, 3422, 3875, 5078, 5620, 5763, 8236, 8416, 8751, 9066]"
6,"[(0.9997877958822395, 8156), (0.9997231472998495, 7671), (0.9992114217957867, 3408), (0.9987516622316925, 5533), (0.9981918455498249, 5116), (0.9981783589624622, 2927), (0.9981690140889916, 3528), (0.9978651462101474, 1907), (0.9978417714537468, 3699), (0.9978074507000092, 2805)]","[2927, 3408, 5116, 5533, 7671, 8156]"
5,"[(0.999990413855675, 8266), (0.9999876223536056, 8131), (0.9999381348463512, 8902), (0.9999311707017748, 5208), (0.9999145392775269, 8235), (0.9999104427794879, 7104), (0.9998952659666163, 5929), (0.9998659007223064, 9715), (0.9998298594591315, 5825), (0.9998277500573363, 4322)]","[5208, 7104, 8131, 8266, 8902]"
9,"[(0.9998141382714234, 3259), (0.9997229592754326, 8073), (0.9996637632301016, 9325), (0.9995343663794455, 5242), (0.9991331375905387, 2865), (0.9989946157927821, 8065), (0.9989728222169997, 3810), (0.9989550891550562, 6840), (0.9989307905099898, 5122), (0.9986439037990692, 4177)]","[227, 2865, 3259, 3810, 5122, 5242, 8065, 8073, 9325]"
9,"[(0.9996110428210933, 7080), (0.9994558534017653, 6551), (0.9994082012245629, 6681), (0.9991122806885047, 3787), (0.9989889176770226, 3310), (0.9987565033211923, 3243), (0.9986929915525057, 6407), (0.9986297337418917, 7170), (0.9980320120627616, 6281), (0.9979128569215218, 2051)]","[2051, 3243, 3310, 3787, 5659, 6407, 6551, 6681, 7080]"
6,"[(0.9999949792519046, 8661), (0.9999939929395317, 531), (0.9999759810098426, 9611), (0.9999429949608825, 6122), (0.9998665811536899, 4395), (0.9998550407154939, 2971), (0.9997914117825425, 9160), (0.9997820632397281, 6216), (0.9997733604794435, 1387), (0.9997718290307052, 7039)]","[531, 2971, 4395, 6122, 8661, 9611]"
6,"[(0.99996777771758, 2999), (0.9999473588031359, 875), (0.9999361275767061, 4144), (0.9999049054962467, 3797), (0.999903725763505, 3454), (0.9998766426397999, 1097), (0.9998445372956585, 2142), (0.9998341023721323, 9339), (0.9998249554699302, 731), (0.9998138121357726, 8108)]","[875, 2142, 2999, 3797, 4144, 9043]"
11,"[(0.9999863405381684, 6566), (0.9999731218005781, 189), (0.9999567640329475, 2344), (0.9999210564624276, 2889), (0.9998990913933057, 716), (0.9998885136292032, 4954), (0.9998836354935245, 9620), (0.9998705686569245, 4927), (0.9998396889325861, 155), (0.9998376237344567, 8408)]","[155, 189, 716, 2344, 2889, 4927, 4954, 5230, 6566, 8408, 9620]"
17,"[(0.9999879344282188, 4763), (0.999964933095985, 3513), (0.9999569107254705, 278), (0.9999341746175935, 9551), (0.9999292466660109, 5196), (0.9999105730208295, 3527), (0.9999095819448073, 4019), (0.9999056985253909, 8248), (0.9998995622372401, 936), (0.9998849558054705, 4575)]","[278, 688, 936, 2442, 2936, 3513, 3527, 4019, 4407, 4575, 4763, 5196, 5209, 5868, 8173, 8248, 9551]"
9,"[(0.9999778436475024, 3134), (0.9999753654489912, 7482), (0.9998721948264726, 916), (0.999706494579095, 9524), (0.9996878599662087, 2395), (0.9996824518143288, 7281), (0.9995535095883546, 5211), (0.9993565096707987, 3218), (0.99934961584906, 7533), (0.9993441220903211, 3174)]","[916, 2395, 3134, 3174, 5211, 6113, 7281, 7482, 9524]"
13,"[(0.9999938915568741, 9414), (0.9999936298689707, 1189), (0.9999826431900869, 8496), (0.9999793951670051, 8300), (0.9999755155179382, 3192), (0.9999740419354393, 3464), (0.9999544544912087, 4377), (0.9999394279128968, 4302), (0.9999010880768261, 7537), (0.999879325990337, 2553)]","[1189, 2201, 2553, 3192, 3464, 4302, 4377, 7537, 8300, 8496, 8565, 9378, 9414]"
12,"[(0.9999805284066391, 7481), (0.9999074181866039, 6704), (0.9999054754277333, 7488), (0.9998963202885045, 4372), (0.9998798354232633, 1658), (0.9998591282782388, 3193), (0.9998443946301252, 4311), (0.9998069094224946, 767), (0.9997830627086336, 4142), (0.999717100038135, 4718)]","[767, 1658, 3193, 4142, 4311, 4372, 4718, 6704, 7481, 7488, 8872, 9301]"
12,"[(0.9998567398346367, 3828), (0.9997687823147852, 9622), (0.999689252776484, 8581), (0.999619087953345, 4285), (0.999417210833163, 7343), (0.9993233811723237, 9385), (0.9992761126083788, 6976), (0.998943052125011, 1069), (0.9989087350848679, 8049), (0.9988821291201032, 5388)]","[1069, 3461, 3828, 4285, 5388, 6976, 7343, 8049, 8581, 8650, 9385, 9622]"
5,"[(0.9999292129751417, 6850), (0.9992405449219403, 7155), (0.9988914047994953, 9421), (0.9987710154346913, 9410), (0.9987389913916891, 776), (0.9986983947853093, 5068), (0.9986677219100875, 6102), (0.9986245490254989, 6320), (0.9986173373578145, 7879), (0.998557643492219, 9606)]","[6320, 6850, 7155, 7879, 7987]"
12,"[(0.999963579666099, 5177), (0.9998354265662379, 7486), (0.9998255148669515, 6223), (0.9997759372237505, 1889), (0.9997661233552145, 6455), (0.999714678928778, 6638), (0.9996324760668476, 8271), (0.9996106009184468, 9894), (0.9995915029105411, 8358), (0.9995788893069287, 7345)]","[1889, 5177, 5624, 6223, 6455, 6638, 7345, 7486, 7955, 8271, 8358, 9894]"
11,"[(0.9999998852050468, 475), (0.9999909224798155, 6171), (0.9999738531855628, 4743), (0.9999674856464796, 9165), (0.9999655958838067, 6443), (0.9999544593530753, 2068), (0.9999524037248798, 2701), (0.9999363185831368, 8458), (0.9999341318239521, 917), (0.9999336476399691, 5269)]","[475, 2068, 2701, 3368, 4743, 5251, 5269, 6171, 6443, 8458, 9165]"
7,"[(0.9999936901760055, 3309), (0.9999897464866128, 8754), (0.9999621831254558, 8154), (0.9999593020631664, 7495), (0.9999477723428839, 9696), (0.9999059391706764, 7095), (0.9999023278791195, 9845), (0.9998976671194012, 5786), (0.9998836949573152, 7177), (0.9998819713894277, 8523)]","[3309, 7095, 7495, 8154, 8754, 9696, 9845]"
11,"[(0.9999804048731594, 2982), (0.9998896896022094, 461), (0.9998035587263105, 5255), (0.9997346551066586, 4963), (0.9996944477117528, 4303), (0.9996912319249248, 5795), (0.9996840768860454, 5836), (0.9995768640596208, 8516), (0.9995730801270846, 4828), (0.9995720837150194, 8378)]","[461, 2982, 4035, 4303, 4828, 4963, 5255, 5795, 5836, 9295, 9333]"
7,"[(0.9999551844642119, 4312), (0.9997442659158092, 997), (0.999711858079254, 5326), (0.9995470013313841, 9999), (0.9993413888928462, 3604), (0.9993182870427065, 1060), (0.9992944742677834, 5143), (0.9992622038991936, 2424), (0.9992547591945942, 368), (0.9992384851230007, 8083)]","[985, 997, 2454, 4312, 5326, 9470, 9999]"
13,"[(0.9999979199209257, 4577), (0.9999954518335472, 5606), (0.9999873854815299, 1418), (0.9999615990284846, 1962), (0.9999486341760968, 6786), (0.9999417874756428, 2484), (0.9999372190563649, 9423), (0.9999053110831111, 8081), (0.9999013435143183, 7800), (0.9998845368701298, 7523)]","[1241, 1418, 1962, 2138, 2484, 3618, 4577, 5606, 6786, 7523, 7800, 8081, 9423]"
9,"[(0.9999556881984429, 3227), (0.9998999279682812, 8287), (0.9998745642970637, 9613), (0.9998573159216136, 7405), (0.9998389487610454, 4563), (0.9997331366243617, 7875), (0.9996494518354563, 8003), (0.9995897270409262, 4533), (0.999569244078081, 4301), (0.9993995452572307, 5267)]","[3227, 4301, 4533, 4563, 7405, 7875, 8003, 8287, 9613]"
8,"[(0.9999845580959827, 4215), (0.9999621420806498, 384), (0.9999605219626647, 7817), (0.9999119066083557, 8958), (0.999910741413056, 5310), (0.9998838985754781, 1472), (0.9998765139348688, 6604), (0.9998726484889148, 9800), (0.9998545077227116, 2645), (0.9998419896932993, 6357)]","[384, 4215, 5310, 6464, 6604, 7817, 8958, 9800]"
15,"[(0.999983700560899, 5905), (0.9999787680721371, 7769), (0.9999729153464872, 7116), (0.9999634129713588, 6422), (0.999959799151828, 1567), (0.9999575089617445, 1641), (0.9999421602982793, 4905), (0.9999337864318316, 2757), (0.9999233100089352, 3453), (0.9999088538889914, 9268)]","[565, 1567, 1641, 1920, 2757, 3453, 4905, 5905, 6422, 6789, 7116, 7587, 7769, 9135, 9268]"
14,"[(0.9999696139618515, 3324), (0.9999659889063014, 2759), (0.9999363568729008, 1712), (0.9998826994783727, 3222), (0.9998315063373681, 5816), (0.9998220129093006, 9004), (0.9998209927178332, 9301), (0.9998136728188544, 3516), (0.9997511946950403, 6248), (0.9996948917522636, 2444)]","[1658, 1712, 2444, 2759, 3222, 3324, 3516, 5816, 6248, 7061, 9004, 9298, 9301, 9426]"
10,"[(0.999948865047723, 6503), (0.99993757848544, 4298), (0.9998933823700068, 5390), (0.9995001105135672, 7691), (0.99949951426633, 6753), (0.9993486531477187, 2043), (0.999276488602283, 9352), (0.9992624079658342, 8530), (0.9992401713464029, 6121), (0.9991600150949501, 2517)]","[2043, 4298, 5390, 6121, 6503, 6753, 7632, 7691, 8530, 9352]"
13,"[(0.9999970081243928, 4540), (0.9999802683982725, 948), (0.9999693953675748, 6530), (0.999957157676672, 2795), (0.9999372186288561, 9959), (0.9999115861591734, 3792), (0.9999115725394654, 4886), (0.99991141665429, 55), (0.9998479551836854, 1473), (0.9998193338975903, 6065)]","[55, 948, 1458, 1473, 2795, 3792, 4540, 4886, 5910, 6065, 6530, 9626, 9959]"
9,"[(0.9999543930188154, 3531), (0.9999194525186932, 5240), (0.9999189693743471, 8465), (0.9999028343388882, 1640), (0.9998700259817948, 9892), (0.9998382577353219, 7974), (0.9998243044224663, 9051), (0.9998103564975509, 7216), (0.9998077510456177, 8687), (0.999782364980544, 8956)]","[1640, 3531, 5240, 7974, 8465, 8687, 8704, 9051, 9892]"
11,"[(0.9999983552990862, 7588), (0.999996757690427, 1340), (0.9999905786221257, 8325), (0.9999755694704187, 8115), (0.9999751434143521, 3789), (0.9999734524552247, 566), (0.9999733548549893, 9727), (0.9999186032921837, 4566), (0.9999076609576985, 9891), (0.9998938621041351, 285)]","[285, 566, 1340, 3789, 4555, 4566, 7588, 8115, 8325, 9727, 9810]"
8,"[(0.9998930645198205, 9272), (0.9992378919399267, 3098), (0.9988975566857047, 6050), (0.9988486606853442, 3267), (0.9987901321459925, 8139), (0.9985851335656343, 9793), (0.9983432695850046, 3280), (0.9979289552567343, 1638), (0.9979108575664519, 1323), (0.9978992587370812, 6574)]","[1323, 1638, 3098, 3267, 4414, 6050, 8139, 9272]"
8,"[(0.9999603913924522, 9895), (0.9999288626762102, 2738), (0.9999104288266046, 9348), (0.9999051045364011, 5433), (0.9998328644408486, 2549), (0.9998294342872743, 529), (0.9998120859644402, 306), (0.9998112505766109, 4823), (0.9997546364780764, 3987), (0.9997491433502694, 2403)]","[306, 529, 2549, 2738, 4823, 5433, 9348, 9895]"
12,"[(0.9999972095418437, 6136), (0.9999924968090236, 8430), (0.9999801217585745, 914), (0.9999490123282699, 3790), (0.9999476971490665, 6522), (0.9999468305168145, 8162), (0.9999136721521744, 7043), (0.9998934802560472, 3175), (0.9998896432774362, 4542), (0.9998847440907178, 1068)]","[801, 914, 1068, 1919, 3008, 3790, 3813, 6136, 6522, 6598, 8162, 8430]"
10,"[(0.9999467129421031, 5539), (0.9999414965631117, 3660), (0.9998787528832311, 2500), (0.9998559476558473, 7176), (0.9998515516030706, 224), (0.9998472895722413, 4916), (0.999824919719526, 9288), (0.9998047809773445, 8717), (0.9997692998595641, 1829), (0.9997686988144732, 7161)]","[224, 2132, 2500, 3660, 4916, 5539, 7176, 7318, 8803, 8959]"
13,"[(0.9999773967594077, 197), (0.999976416068563, 6385), (0.9999730790709873, 2870), (0.9999643090499502, 2292), (0.9999484382390962, 8365), (0.9999377536869408, 7530), (0.9999372691304517, 3159), (0.9999290728195882, 4999), (0.9999173441160926, 905), (0.999897102993656, 2251)]","[197, 905, 1114, 2251, 2292, 2870, 3159, 4586, 4999, 6385, 7489, 7530, 8365]"
8,"[(0.9999808167087961, 6684), (0.9999609454370947, 7140), (0.999957445345631, 8700), (0.9999085149081478, 4564), (0.9998962844211038, 116), (0.9998888148921368, 6367), (0.9998867652815467, 3642), (0.9998690176028818, 1475), (0.9998399143841741, 6115), (0.9998295460749698, 6353)]","[116, 1475, 3642, 4564, 6367, 6684, 7140, 8700]"
7,"[(0.9998413111344836, 4623), (0.9997583893450614, 8772), (0.9997548771137414, 3588), (0.9997175976948109, 6737), (0.9994411740717286, 9170), (0.999138275003388, 2323), (0.9990839113544223, 5363), (0.9990782788539014, 5162), (0.9990548050306838, 7575), (0.9990173300100561, 7541)]","[2323, 3588, 4623, 5363, 6737, 8772, 9170]"
13,"[(0.9999998336459204, 3359), (0.9999965954012134, 2494), (0.999979508894261, 5095), (0.9999706135619559, 5960), (0.999957453161886, 9553), (0.999947805222073, 6460), (0.9999256288518347, 5408), (0.9999155899056872, 7010), (0.9999059905890109, 4005), (0.9998964432523574, 5329)]","[2494, 2850, 3359, 4005, 5095, 5329, 5408, 5465, 5960, 5996, 6460, 7010, 9553]"
12,"[(0.999999455906238, 7037), (0.9999913713234323, 8564), (0.999965037363205, 2394), (0.9999629374557613, 4771), (0.9999543773196184, 380), (0.9999432525308696, 5776), (0.9999342242933242, 1198), (0.9999277469696756, 3783), (0.9999094880043636, 2694), (0.9999037125825521, 1971)]","[380, 1198, 1971, 2394, 2694, 3128, 3783, 4771, 5690, 5776, 7037, 8564]"
8,"[(0.9999702191337332, 6811), (0.9998518251640806, 2626), (0.9998418838722574, 4335), (0.999694578212159, 5854), (0.9996252559187607, 6478), (0.999573079624758, 7325), (0.9992849045169764, 3568), (0.9992439156453745, 2673), (0.9990477290555846, 2772), (0.9989976860450149, 5608)]","[2626, 3568, 4335, 5854, 6478, 6811, 7325, 7479]"
5,"[(0.999312225634312, 7836), (0.9990664289824503, 4795), (0.9989277766172278, 3466), (0.9988575725880863, 7464), (0.9986468101045382, 205), (0.9986384164493408, 1522), (0.9986209953860962, 1437), (0.9984637849076757, 328), (0.9983855140787149, 863), (0.9983417060906918, 5981)]","[328, 3466, 4795, 7836, 9916]"
13,"[(0.9999859824841328, 6471), (0.9999666302179485, 8035), (0.9999652743965776, 6641), (0.9999640904206525, 9636), (0.9999536242719975, 8976), (0.9999515943467866, 3379), (0.999941991802055, 4416), (0.9999295105728361, 6038), (0.9999284823714583, 5899), (0.9999115189044959, 7507)]","[1818, 3379, 4416, 5150, 5899, 6038, 6471, 6641, 7507, 7680, 8035, 8976, 9636]"
10,"[(0.9998742523452374, 3942), (0.9998204654684969, 1344), (0.9998018790088935, 3832), (0.999641256790867, 8915), (0.9995801516723697, 5655), (0.9994592917320386, 5688), (0.9994252050837642, 7272), (0.9993718051151373, 4798), (0.9993351037072824, 8821), (0.9989154943256235, 7761)]","[1344, 2933, 3832, 3942, 4798, 5655, 5688, 7272, 8821, 8915]"
14,"[(0.9999781305226451, 7268), (0.9999744703572097, 6082), (0.9999628747393966, 7291), (0.999959246535612, 2310), (0.9999554811009076, 3835), (0.9999464837604554, 4352), (0.9999402669275304, 4343), (0.9999394532304403, 7603), (0.9999349139197122, 1577), (0.9998994172153056, 2856)]","[1577, 2310, 2856, 2928, 3644, 3804, 3835, 4343, 4352, 6082, 6584, 7268, 7291, 7603]"
8,"[(0.9999812403306674, 376), (0.9999808565812038, 4104), (0.9999626295287276, 4729), (0.9998512262591237, 2305), (0.9998286859282662, 1689), (0.9997417194920828, 4725), (0.9997108906414865, 7995), (0.9996741691546944, 9012), (0.9996319326391913, 7728), (0.9996213872066848, 7934)]","[376, 1689, 2305, 4104, 4108, 4725, 4729, 9961]"
10,"[(0.9999910090383701, 5833), (0.9999710809007004, 3640), (0.9998975069614411, 1160), (0.9998463157294332, 6458), (0.9993211360663463, 8071), (0.9993123957322873, 2375), (0.999311373060766, 2081), (0.9989586128102632, 8102), (0.9986759435687678, 1297), (0.9986257894038557, 8966)]","[734, 1160, 2081, 2375, 3640, 5511, 5833, 6458, 8071, 9829]"
3,"[(0.9999578819346321, 1302), (0.9999190650095033, 4819), (0.9995065616378336, 3489), (0.9994997854196297, 8217), (0.9994835823443056, 843), (0.999479944156885, 4042), (0.9993580049585195, 4965), (0.9991705256332433, 9771), (0.9991678129087942, 7126), (0.9991653709533344, 9104)]","[1302, 4819, 5656]"
9,"[(0.9999976012000632, 5794), (0.9999677448031123, 4770), (0.9998713713528593, 7559), (0.9997762256802066, 4647), (0.9997194665029365, 6743), (0.9996458264858751, 1440), (0.9996426149062339, 721), (0.9996200960549451, 410), (0.9995708712144707, 4529), (0.9995685665032212, 9315)]","[1440, 1623, 4647, 4770, 5794, 6743, 7559, 7806, 9315]"
10,"[(0.9999677369500006, 5508), (0.9999477468025834, 3696), (0.9999301342014295, 8472), (0.9999180065461494, 3935), (0.9998923972466273, 4115), (0.9998590364057448, 1146), (0.9998553267677176, 6735), (0.9998483045040402, 8960), (0.9998376640041651, 7864), (0.999814189460251, 1598)]","[1146, 3696, 3935, 4115, 5508, 6735, 6912, 7864, 8472, 8960]"
10,"[(0.9998949895769516, 9017), (0.9998358326552101, 2318), (0.9997155802491294, 9397), (0.9996624305920621, 694), (0.9996598133802697, 406), (0.999555106213952, 4617), (0.9994850202723824, 6737), (0.9994417366955901, 5162), (0.99933799653746, 762), (0.999214515178779, 3447)]","[406, 694, 2318, 3639, 4617, 6737, 7406, 7431, 9017, 9397]"
15,"[(0.9999902753920173, 4019), (0.9999855392991691, 8248), (0.9999569107254705, 238), (0.9999423743597661, 5196), (0.9999356295669385, 3527), (0.9999216557667062, 4763), (0.9998868903262373, 2936), (0.9998788300010334, 3513), (0.9998562658455455, 9551), (0.9998445511972721, 6880)]","[238, 936, 2227, 2936, 3513, 3527, 4019, 4575, 4763, 5196, 6126, 6880, 8173, 8248, 9551]"
12,"[(0.9999950654586194, 525), (0.9999247175619334, 3092), (0.9998746286550331, 1796), (0.9998433923639212, 492), (0.9998390962626139, 5170), (0.9997662609992268, 4744), (0.999737313854425, 2923), (0.9997066631988439, 6244), (0.9996983698686812, 9635), (0.9996800357881918, 9661)]","[492, 525, 1796, 2223, 2923, 3092, 3363, 5170, 6244, 9302, 9635, 9661]"
9,"[(0.9999608381857251, 6419), (0.9999438893854612, 9442), (0.9999304713884034, 332), (0.9999256985783774, 7750), (0.999897213926848, 4222), (0.9998479799515926, 7695), (0.999844667060774, 8446), (0.9998196539655962, 8682), (0.9997556888192094, 2769), (0.9997112363965459, 6568)]","[332, 2769, 4222, 6419, 7695, 7750, 8446, 8682, 9442]"
9,"[(0.9999885929380071, 9035), (0.9999876514162079, 8337), (0.9999852097306455, 7008), (0.9999645993374443, 3954), (0.9999485604079774, 5442), (0.9999347203204015, 2941), (0.9999269139853965, 5962), (0.9999191373363494, 6624), (0.9999135437629184, 7531), (0.9999100161629698, 5766)]","[1132, 2941, 3954, 5442, 5962, 7008, 7531, 8337, 9035]"
12,"[(0.9999990840364308, 6145), (0.9999932581981371, 5884), (0.9999870168757493, 7511), (0.9999868271118446, 6654), (0.9999760875483489, 2698), (0.9999742494124834, 2109), (0.999969979665229, 5018), (0.9999623215458966, 4319), (0.999955362991251, 3118), (0.9999461418258463, 2958)]","[1639, 2109, 2698, 2958, 3118, 4319, 5018, 5455, 5884, 6145, 6654, 7511]"
10,"[(0.9999996905556299, 7203), (0.9999866330078884, 8753), (0.9999780180704476, 7608), (0.9999630455466685, 3089), (0.9999611100346739, 8100), (0.9999442980655907, 9972), (0.9999162515268276, 7894), (0.9998979590577477, 3734), (0.9998914618120484, 5157), (0.9998490257887039, 6104)]","[3089, 5157, 5179, 6104, 7203, 7608, 7894, 8100, 8753, 9972]"
15,"[(0.9999970809343227, 1383), (0.9999966104410454, 5409), (0.9999945862129603, 4032), (0.9999848506962399, 8183), (0.9999817049215041, 6854), (0.9999681647923315, 4975), (0.9999580598916494, 1243), (0.9999472684380356, 8569), (0.9999443502512319, 49), (0.9999416106450562, 33)]","[33, 49, 1243, 1383, 3991, 4032, 4937, 4975, 5409, 6205, 6854, 7687, 8183, 8569, 9517]"
14,"[(0.9999928042961362, 8775), (0.9999807791844915, 9891), (0.9999805524340181, 1367), (0.9999710947644366, 8595), (0.9999616427636029, 3789), (0.9999528008730454, 8598), (0.9999406150530401, 6895), (0.9999247491311877, 1340), (0.9998942143102078, 2029), (0.9998938621041351, 257)]","[257, 1340, 1367, 1419, 2029, 3360, 3397, 3789, 6895, 7588, 8595, 8598, 8775, 9891]"
10,"[(0.9999916741955339, 9486), (0.9999167565994567, 8149), (0.9999061415637759, 6295), (0.9998141338746641, 1134), (0.9998069650911159, 9265), (0.9997305741871952, 9271), (0.9997236179996462, 5425), (0.9996943770575886, 7630), (0.9996702940391659, 1675), (0.9995584733705737, 3898)]","[1134, 1675, 5425, 6295, 7630, 8149, 8798, 9265, 9271, 9486]"
7,"[(0.9999925788496233, 6148), (0.9999623859368131, 1813), (0.9999000272581391, 1164), (0.9998878384906079, 9116), (0.9998828592633772, 6583), (0.999823397955214, 5864), (0.9997876027197156, 5341), (0.9997339191587464, 3418), (0.9997123462628417, 5896), (0.9996972919598784, 7251)]","[1164, 1813, 5341, 5864, 6148, 6583, 9116]"
7,"[(0.9999941020913943, 621), (0.9999567966744356, 9552), (0.9999522124162379, 3314), (0.9998908610438161, 1263), (0.9998855836984277, 4802), (0.9998251040403361, 8223), (0.9998230190613658, 291), (0.9997723297044281, 6327), (0.999753730104739, 980), (0.9997510342211352, 9406)]","[621, 980, 1263, 3314, 4802, 8223, 9552]"
12,"[(0.9999947840119108, 1268), (0.9999819901006437, 5357), (0.9999722354505713, 8346), (0.9999691548315617, 6554), (0.999958976719657, 5513), (0.9999583090077235, 1950), (0.9999479046419923, 2884), (0.9999475379000592, 3551), (0.9999322552787208, 4887), (0.9999115105562812, 3666)]","[383, 1268, 1950, 2884, 3551, 3666, 4887, 5357, 5513, 6554, 8346, 8671]"
14,"[(0.9999991724642934, 8395), (0.9999918027608963, 7114), (0.9999565970671204, 7539), (0.999874333858483, 2243), (0.999830075842889, 3262), (0.9998262301146461, 4803), (0.9998170071852134, 6967), (0.9998062316724002, 7455), (0.9997780636069479, 7466), (0.9997695136201907, 6078)]","[79, 2243, 2632, 3262, 3638, 4803, 6078, 6967, 7114, 7455, 7466, 7539, 8395, 8874]"
